image_name	cell_number	mRNA_entry	peptide_entry	pep_amp	normalized_pep_amp	distance	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1015	14538	4701.3	3.9153355430817665	84.59905436823747	130407	166932	6926.63
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1013	14539	2707.8	2.2551093492346386	433.82023926967724	126788	166694	7245.79
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1019	14573	1624.16	1.3526325432649866	616.1623162771316	130426	170876	6605.11
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1023	14600	3415.59	2.844570847977081	602.2242107388245	129241	174684	6992.9
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1022	14602	2922.04	2.4335326548628347	226.43321311150447	132775	174448	6673.93
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1025	14617	3326.23	2.770150074120959	519.0963301738898	129131	176664	6108.95
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1024	14619	1619.67	1.3488931825374353	690.7966415668218	133470	175582	6709.71
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1026	14640	3990.4	3.323283974882156	194.82556300444764	129672	178772	6566.79
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1027	14661	2562.98	2.134500391425288	617.6123379596622	131024	181539	6614.5
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1028	14674	3925.35	3.2691090494195247	209.25821369781403	129844	183585	7669.09
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1029	14709	4076.87	3.395297899628562	266.1766330841233	127304	187985	7252.08
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1030	14731	1597.7	1.3305961323850293	397.8366498954062	127178	189142	6256.35
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_4	1033	14792	3763.8	3.1345670170061797	266.0695397823659	106330	151969	6062.88
