image_name	cell_number	mRNA_entry	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	79	153526	96126.1	4068.4
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	88	154731	108265	5411.72
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	93	153354	109869	4571.01
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_1	106	149599	114087	4588.58
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	110	122893	132141	5187.92
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	117	123592	132872	3830.38
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	128	110144	134257	4253.65
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	136	110487	134567	6082.44
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	157	111770	135452	5679.46
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	126	114003	134172	4073.12
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	154	107816	135316	4141.74
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	127	124823	134106	3796.83
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	125	125165	133915	3808.68
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	134	127058	134517	4767.38
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	140	126820	134640	3919.9
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	149	126214	134942	3964.61
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	145	124664	134885	4458.97
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	135	99702.4	134575	4214.48
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	5	78216.1	46525.8	5404.61
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	159	84536.2	135582	4646.55
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_2	175	124732	136052	4974.5
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	194	137951	146309	6539
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	195	137274	146466	6138.37
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	196	137864	146569	5857.07
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	204	139036	157073	5797.58
23-08-14_motorNeurons_SUNTAG307_MG132_002_XY1_555S.tif	Cell_3	212	128670	186288	3847.63
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	222	119552	121273	4417.67
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	224	120427	121456	5546.82
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	226	119632	121619	4663.76
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	230	119647	122023	6092.66
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	220	121851	121155	3074.05
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_1	255	154995	132679	3843.93
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_1	11	53245	74030.3	6652.75
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	264	111479	141229	6214.93
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	265	111606	141772	6947.23
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	267	113435	143300	6006
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	273	113695	145440	4138.53
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	275	113598	145763	6705.87
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	276	112496	146256	4753.07
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	278	114639	146460	4884.04
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	286	118008	156873	7290.97
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_2	298	119591	177837	6414.43
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	301	98871.5	142167	4628.59
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	302	98392.7	142493	5645.86
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	307	98535.1	143501	4731.75
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	308	98545.5	144051	5857.07
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	310	98787.3	144850	4544.38
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	314	100866	148198	6468.89
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	317	103703	150752	6154.46
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_3	324	108813	180619	4397.93
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_4	328	67811.4	126594	8983.58
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_5	353	86697.7	145005	4794.17
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	364	85574.2	142872	4196.96
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	373	76801.2	147281	7658.13
23-08-14_motorNeurons_SUNTAG307_MG132_004_XY1_555S.tif	Cell_6	377	72282.3	148585	8232.52
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	382	137060	52006.8	4598.06
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	383	141578	58373.3	6155.18
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	390	158103	98159.3	4609.1
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	394	156880	99102.3	5040.3
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	396	154971	99241.8	7317.24
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	405	152470	101506	8945.03
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_1	413	151654	104276	10395.3
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	423	161594	120323	8797.37
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	424	164269	120247	9305.53
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	435	159422	122649	7285.15
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	433	164484	122362	9114.67
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	439	165186	123545	9114.79
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	452	165602	124455	6459.85
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	458	168831	124946	6303.56
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	453	159398	124513	10368.3
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	448	157921	124485	6667.58
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	445	158545	124028	7940.1
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	456	158525	124939	9111.56
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	461	170036	125532	8859.34
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	464	170634	125746	7885.12
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	467	169791	126627	8511.35
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	471	166905	127611	5090.75
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	473	171452	128041	5709.92
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	474	171068	128194	6425.21
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	477	171724	128759	9533.55
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	489	177801	136536	7149.51
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_2	496	200941	139305	5164.35
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	533	118758	139499	8960.87
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	535	115706	139768	6720.34
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	538	117260	140623	5153.38
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	544	111061	142665	9508.81
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	551	112357	144492	9057.26
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	568	93513.2	159908	4961.07
23-08-14_motorNeurons_SUNTAG307_MG132_005_XY1_555S.tif	Cell_4	570	95331.6	160381	5565.61
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_1	582	82918	124973	5695.23
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_1	585	83418.6	126095	6074.53
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	611	80797.9	113783	3644.84
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	616	83446	115866	3553.69
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_2	620	83745.9	116306	4454.59
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	636	172813	53081.1	2852.68
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	664	139815	88529.8	5922.2
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	667	138700	88794.8	2965.6
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	670	140419	90190.5	6180.55
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	682	136929	93193.7	5282.2
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	689	132672	94808.5	4258
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	694	133390	95516.8	4948.36
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	701	122736	98012.7	5561.76
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	703	129508	98149.7	6391.18
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	709	120371	99076.9	5980.6
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	711	128215	99359.2	6846.6
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	717	124673	100020	3073.31
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	716	124631	100026	3061.47
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	725	124233	100556	4723.48
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	715	118136	99948.5	6260.3
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	721	118266	100123	6802.57
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	726	117565	100687	5549.75
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	730	121098	100985	2913.77
